City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
244,Cabedelo,BR,2020-02-24 01:26:25,-6.98,-34.83,82.4,78,20,10.29,few clouds
245,Seymchan,RU,2020-02-24 01:26:25,62.88,152.43,-14.73,95,92,2.73,overcast clouds
246,Ambatondrazaka,MG,2020-02-24 01:26:25,-17.83,48.42,66.85,99,99,3.13,light rain
247,Harrison,US,2020-02-24 01:26:25,30.41,-89.04,60.8,67,90,4.7,overcast clouds
248,Melton Mowbray,GB,2020-02-24 01:26:25,52.77,-0.89,42.01,75,93,5.82,overcast clouds
249,Ihosy,MG,2020-02-24 01:26:26,-22.4,46.12,64.67,97,51,2.91,broken clouds
250,Ambilobe,MG,2020-02-24 01:20:06,-13.2,49.05,75.97,93,69,2.17,broken clouds
251,San Carlos De Bariloche,AR,2020-02-24 01:16:02,-41.15,-71.31,59.0,51,40,23.04,scattered clouds
252,Coihaique,CL,2020-02-24 01:16:56,-45.58,-72.07,57.2,50,75,3.36,broken clouds
253,Nortelandia,BR,2020-02-24 01:26:27,-14.45,-56.8,72.64,98,99,1.63,moderate rain
254,Maldonado,UY,2020-02-24 01:26:27,-34.67,-54.92,68.0,82,0,9.17,clear sky
255,Tigil,RU,2020-02-24 01:20:35,57.8,158.67,4.32,77,37,3.33,scattered clouds
256,Rio Gallegos,AR,2020-02-24 01:20:31,-51.62,-69.22,55.4,50,40,12.75,scattered clouds
257,Wattegama,LK,2020-02-24 01:26:27,6.8,81.48,75.2,100,20,8.05,few clouds
258,Upernavik,GL,2020-02-24 01:19:41,72.79,-56.15,-19.1,89,0,5.64,clear sky
259,Cayenne,GF,2020-02-24 01:17:40,4.93,-52.33,80.6,83,75,6.93,broken clouds
260,Asau,RO,2020-02-24 01:20:55,46.43,26.4,55.4,50,97,16.11,overcast clouds
261,Warrnambool,AU,2020-02-24 01:26:28,-38.38,142.48,69.01,84,100,10.83,overcast clouds
262,Maromitsa,RU,2020-02-24 01:26:29,59.87,48.01,29.01,90,100,12.75,light snow
263,Airai,TL,2020-02-24 01:17:37,-8.93,125.41,76.05,69,5,1.83,clear sky
264,Manyana,BW,2020-02-24 01:24:21,-23.4,21.72,69.28,82,98,6.78,light rain
265,Kiyevskoye,RU,2020-02-24 01:26:29,45.04,37.89,44.6,75,75,22.37,broken clouds
266,Teluknaga,ID,2020-02-24 01:26:29,-6.1,106.64,84.99,83,75,11.41,light rain
